ID,Heating SP,Cooling SP,Blind 1,Blind 2,Window 1,Window 2
846,23,27,1,1,0,0
847,23,28,1,1,0,0
848,24,25,1,1,0,0
849,24,26,1,1,0,0
850,24,27,1,1,0,0
851,24,28,1,1,0,0
852,25,26,1,1,0,0
853,25,27,1,1,0,0
854,25,28,1,1,0,0
855,26,27,1,1,0,0
856,26,28,1,1,0,0
857,27,28,1,1,0,0
858,17,18,1,1,0,1
859,17,19,1,1,0,1
860,17,20,1,1,0,1
861,17,21,1,1,0,1
862,17,22,1,1,0,1
863,17,23,1,1,0,1
864,17,24,1,1,0,1
865,17,25,1,1,0,1
866,17,26,1,1,0,1
867,17,27,1,1,0,1
868,17,28,1,1,0,1
869,18,19,1,1,0,1
870,18,20,1,1,0,1
871,18,21,1,1,0,1
872,18,22,1,1,0,1
873,18,23,1,1,0,1
874,18,24,1,1,0,1
875,18,25,1,1,0,1
876,18,26,1,1,0,1
877,18,27,1,1,0,1
878,18,28,1,1,0,1
879,19,20,1,1,0,1
880,19,21,1,1,0,1
881,19,22,1,1,0,1
882,19,23,1,1,0,1
883,19,24,1,1,0,1
884,19,25,1,1,0,1
885,19,26,1,1,0,1
886,19,27,1,1,0,1
887,19,28,1,1,0,1
888,20,21,1,1,0,1
889,20,22,1,1,0,1
890,20,23,1,1,0,1
891,20,24,1,1,0,1
892,20,25,1,1,0,1
893,20,26,1,1,0,1
894,20,27,1,1,0,1
895,20,28,1,1,0,1
896,21,22,1,1,0,1
897,21,23,1,1,0,1
898,21,24,1,1,0,1
899,21,25,1,1,0,1
900,21,26,1,1,0,1
901,21,27,1,1,0,1
902,21,28,1,1,0,1
903,22,23,1,1,0,1
904,22,24,1,1,0,1
905,22,25,1,1,0,1
906,22,26,1,1,0,1
907,22,27,1,1,0,1
908,22,28,1,1,0,1
909,23,24,1,1,0,1
910,23,25,1,1,0,1
911,23,26,1,1,0,1
912,23,27,1,1,0,1
913,23,28,1,1,0,1
914,24,25,1,1,0,1
915,24,26,1,1,0,1
916,24,27,1,1,0,1
917,24,28,1,1,0,1
918,25,26,1,1,0,1
919,25,27,1,1,0,1
920,25,28,1,1,0,1
921,26,27,1,1,0,1
922,26,28,1,1,0,1
923,27,28,1,1,0,1
924,17,18,1,1,1,0
925,17,19,1,1,1,0
926,17,20,1,1,1,0
927,17,21,1,1,1,0
928,17,22,1,1,1,0
929,17,23,1,1,1,0
930,17,24,1,1,1,0
931,17,25,1,1,1,0
932,17,26,1,1,1,0
933,17,27,1,1,1,0
934,17,28,1,1,1,0
935,18,19,1,1,1,0
936,18,20,1,1,1,0
937,18,21,1,1,1,0
938,18,22,1,1,1,0
939,18,23,1,1,1,0
940,18,24,1,1,1,0
941,18,25,1,1,1,0
942,18,26,1,1,1,0
943,18,27,1,1,1,0
944,18,28,1,1,1,0
945,19,20,1,1,1,0
946,19,21,1,1,1,0
947,19,22,1,1,1,0
948,19,23,1,1,1,0
949,19,24,1,1,1,0
950,19,25,1,1,1,0
951,19,26,1,1,1,0
952,19,27,1,1,1,0
953,19,28,1,1,1,0
954,20,21,1,1,1,0
955,20,22,1,1,1,0
956,20,23,1,1,1,0
957,20,24,1,1,1,0
958,20,25,1,1,1,0
959,20,26,1,1,1,0
960,20,27,1,1,1,0
961,20,28,1,1,1,0
962,21,22,1,1,1,0
963,21,23,1,1,1,0
964,21,24,1,1,1,0
